0,model,price,fuel,year,kms,power,doors,is_professional,province
Bmw,Serie,11.900,Diesel,2008,201.000,245,2,Profesional,Murcia
Mercedes,Clase,2.990,Gasolina,2001,141.060,82,5,Profesional,Valencia
Seat,León,20.990,Gasolina,2020,64.000,150,5,Profesional,Zaragoza
Renault,Captur,19.990,Gasolina,2021,19.000,100,5,Profesional,'']
Tesla,Model,65.899,Eléctrico,2021,7.454,351,5,Profesional,Malaga
Tesla,Model,64.899,Eléctrico,2021,3.396,351,5,Profesional,Malaga
Tesla,Model,64.899,Eléctrico,2021,3.100,351,5,Profesional,Malaga
Cupra,Ateca,34.990,Gasolina,2020,32.500,300,5,Profesional,Castellon
Citroen,C3,10.700,Diesel,2016,211.000,75,5,Profesional,Valencia
Toyota,Rav-4,19.750,Híbrido,11/2016,95.436,197,5,Profesional,Alicante
Chevrolet,Epica,2.500,Diesel,2009,271.000,150,4,Profesional,"Coruña,"
Citroen,Berlingo,17.000,Eléctrico,10/2018,13.840,67,5,Profesional,Alicante
Ford,C-Max,10.200,Diesel,2017,145.000,150,5,Profesional,Badajoz
Citroen,C3,16.300,Diesel,05/2021,12.194,110,5,Profesional,Alicante
Renault,Mégane,8.100,Diesel,2014,109.100,95,5,Profesional,Madrid
Volkswagen,Caddy,13.580,Gasolina,2019,47.965,110,4,Profesional,"Coruña,"
Kia,Sportage,23.900,Gasolina,05/2022,NUEVO,150,5,Profesional,Palencia
Jaguar,F-Pace,59.000,Diesel,06/2021,18.500,163,5,Profesional,Cordoba
Citroen,C4,9.999,Diesel,2015,140.223,115,5,Profesional,Alicante
Mercedes,Eqb,66.495,Eléctrico,2022,NUEVO,228,5,Profesional,Madrid
Audi,Q8,58.390,Diesel,10/2018,143.278,286,5,Profesional,'']
Hyundai,Kona,13.500,Gasolina,2017,45.000,120,5,Profesional,Madrid
Audi,A5,26.900,Diesel,2018,105.000,190,5,Profesional,Alicante
Toyota,Yaris,10.500,Gasolina,2017,62.200,111,5,Profesional,Guadalajara
Mercedes,Vito,36.790,Eléctrico,11/2019,13.200,116,4,Profesional,'']
Renault,Mégane,13.900,Gasolina,2018,52.680,140,5,Profesional,Madrid
Fiat,Scudo,23.900,Diesel,2022,125,120,4,Profesional,Madrid
Peugeot,Bipper,3.300,Diesel,2014,250.000,75,3,Profesional,Sevilla
Galloper,Super,7.900,Diesel,2003,171.002,115,3,Profesional,Barcelona
Volkswagen,T-Cross,18.899,Gasolina,2021,9.852,95,5,Profesional,Malaga
Opel,Corsa,4.793,Diesel,2017,140.000,75,3,Profesional,Madrid
Mercedes,Clase,5.999,Diesel,2006,275.000,190,5,Profesional,Sevilla
Toyota,Yaris,14.900,Gasolina,2021,29.335,125,5,Profesional,Cadiz
Mercedes,Clase,12.900,Diesel,07/2013,175.200,170,4,Profesional,Madrid
Bmw,Serie,37.900,Gasolina,2021,9.900,184,4,Profesional,Madrid
Suzuki,Swift,18.900,Gasolina,05/2022,NUEVO,129,5,Profesional,Valladolid
Suzuki,Vitara,27.000,Híbrido,05/2022,NUEVO,102,5,Profesional,Valladolid
Audi,A3,8.400,Diesel,2010,187.000,105,5,Profesional,Almeria
Nissan,Terrano,7.990,Diesel,2004,180.000,154,5,Profesional,Granada
Peugeot,Expert,15.694,Diesel,2019,96.059,95,4,Profesional,Sevilla
